,Full Address,LatLong
960,"118 EAST 64TH STREET New York, NY 10065",
961,"133 EAST 64TH STREET New York, NY 10065",
962,"181 EAST 65 STREET New York, NY 10065",
963,"181 EAST 65TH STREET New York, NY 10065",
964,"200 EAST 66TH   STREET New York, NY 10065",
965,"200 EAST 66TH  STREET New York, NY 10065",
966,"359 EAST 68TH   STREET New York, NY 10065",
967,"359 EAST 68TH   STREET                    New York, NY 10065",
968,"125 EAST 63RD   STREET New York, NY 10065",
969,"30 EAST 62ND STREET New York, NY 10065",
970,"30 EAST 62ND New York, NY 10065",
971,"177 EAST 64TH   STREET                    New York, NY 10065",
972,"21 EAST 61ST STREET New York, NY 10065",
973,"34 E 62 STREET                            New York, NY 10065",
974,"575 PARK AVE New York, NY 10065",
975,"575 PARK AVENUE New York, NY 10065",
976,"200 EAST 65TH STREET                      New York, NY 10065",
977,"200 EAST 65TH STREET New York, NY 10065",
978,"200 EAST 65TH   STREET New York, NY 10065",
979,"210 EAST 65TH   STREET                    New York, NY 10065",
980,"675 MADISON AVENUE                        New York, NY 10065",
981,"116 EAST 63RD STREET New York, NY 10065",
982,"550 PARK AVENUE New York, NY 10065",
983,"124-126 EAST 63RD STREET                  New York, NY 10065",
984,"130 EAST 63RD ST New York, NY 10065",
985,"139 EAST 63RD STREET New York, NY 10065",
986,"139 EAST 63RD ST. New York, NY 10065",
987,"563 PARK AVENUE New York, NY 10065",
988,"220 EAST 65 ST                            New York, NY 10065",
989,"220 EAST 65TH   STREET New York, NY 10065",
990,"220 EAST 65TH                             New York, NY 10065",
991,"220 EAST 65 STREET                        New York, NY 10065",
992,"147 EAST 63RD STREET                      New York, NY 10065",
993,"140 EAST 63RD STREET New York, NY 10065",
994,"333 EAST 66TH ST New York, NY 10065",
995,"333 EAST 66TH STREET New York, NY 10065",
996,"400 EAST 67TH STREET                      New York, NY 10065",
997,"530 PARK AVENUE New York, NY 10065",
998,"315 EAST 65 STREET New York, NY 10065",
999,"152 EAST 63RD   STREET                    New York, NY 10065",
1000,"304 EAST 65TH STREET New York, NY 10065",
1001,"1071 3 AVENUE New York, NY 10065",
1002,"166 EAST 63 STREET New York, NY 10065",
1003,"166 EAST 63RD STREET New York, NY 10065",
1004,"166 EAST 63RD STREET                      New York, NY 10065",
1005,"205 EAST  63RD STREET New York, NY 10065",
1006,"250 EAST 65TH STREET New York, NY 10065",
1007,"250 EAST 65TH   STREET                    New York, NY 10065",
1008,"161 EAST 62ND   STREET                    New York, NY 10065",
1009,"794 LEXINGTON AVENUE                      New York, NY 10065",
1010,"1225 2 AVENUE                             New York, NY 10065",
1011,"341 EAST 65TH   STREET                    New York, NY 10065",
1012,"301 EAST 64 ST. New York, NY 10065",
1013,"301 EAST 64TH STREET New York, NY 10065",
1014,"1222 2 AVENUE                             New York, NY 10065",
1015,"175 EAST 62ND STREET New York, NY 10065",
1016,"175 E 62 ST New York, NY 10065",
1017,"118 EAST 61ST   STREET                    New York, NY 10065",
1018,"210 EAST 63RD STREET New York, NY 10065",
1019,"404 E 66TH STREET New York, NY 10065",
1020,"521 PARK AVENUE                           New York, NY 10065",
1021,"154 EAST 62ND   STREET                    New York, NY 10065",
1022,"156 EAST 62ND STREET                      New York, NY 10065",
1023,"132 EAST 61ST   STREET                    New York, NY 10065",
1024,"300 EAST 64TH   STREET                    New York, NY 10065",
1025,"201 EAST 62ND STREET New York, NY 10065",
1026,"230 EAST 63RD ST                          New York, NY 10065",
1027,"230 EAST 63RD   STREET                    New York, NY 10065",
1028,"150 EAST 61 STREET New York, NY 10065",
1029,"163 EAST 61ST   STREET                    New York, NY 10065",
1030,"301 E 63RD ST New York, NY 10065",
1031,"436 EAST 66TH STREET New York, NY 10065",
1032,"200 EAST 62ND STREET                      New York, NY 10065",
1033,"200 EAST 62ND STREET New York, NY 10065",
1034,"200 EAST 62ND New York, NY 10065",
1035,"210 EAST 62ND   STREET                    New York, NY 10065",
1036,"340 EAST 64TH                             New York, NY 10065",
1037,"340 EAST 64 STREET                        New York, NY 10065",
1038,"340 EAST 64                               New York, NY 10065",
1039,"340 EAST 64TH STREET New York, NY 10065",
1040,"340 EAST 64 STREET New York, NY 10065",
1041,"435 E 65TH STREET New York, NY 10065",
1042,"435 EAST 65 New York, NY 10065",
1043,"435 E 65TH ST New York, NY 10065",
1044,"228 EAST 62ND   STREET                    New York, NY 10065",
1045,"1031 3 AVENUE New York, NY 10065",
1046,"238 EAST 62ND   STREET                    New York, NY 10065",
1047,"200 EAST 61 STREET New York, NY 10065",
1048,"1010 3 AVENUE New York, NY 10065",
1049,"301 EAST 62D STREET New York, NY 10065",
1050,"300 EAST 62ND STREET New York, NY 10065",
1051,"300 EAST 62ND   STREET                    New York, NY 10065",
1052,"226 EAST 61ST STREET                      New York, NY 10065",
1053,"205 EAST 60TH   STREET                    New York, NY 10065",
1054,"207 EAST 60TH   STREET                    New York, NY 10065",
1055,"337 EAST 62ND STREET                      New York, NY 10065",
1056,"209 EAST 60TH   STREET                    New York, NY 10065",
1057,"238 EAST 61ST STREET                      New York, NY 10065",
1058,"347 E 62ND STREET New York, NY 10065",
1059,"420 EAST 64 STREET New York, NY 10065",
1060,"420 EAST 64RD STREET New York, NY 10065",
1061,"420 EAST 64TH ST New York, NY 10065",
1062,"420 EAST 64TH STREET New York, NY 10065",
1063,"405 EAST 63RD STREET New York, NY 10065",
1064,"349 EAST 62ND STREET                      New York, NY 10065",
1065,"353 EAST 62ND   STREET                    New York, NY 10065",
1066,"1135 FIRST AVENUE                         New York, NY 10065",
1067,"425 E. 63RD STREET New York, NY 10065",
1068,"1175 YORK AVENUE New York, NY 10065",
1069,"1175 YORK  AVENUE New York, NY 10065",
1070,"350 EAST 62ND ST                          New York, NY 10065",
1071,"350 EAST 62ND STREET                      New York, NY 10065",
1072,"403 EAST 62ND STREET New York, NY 10065",
1073,"1140 2 AVENUE                             New York, NY 10065",
1074,"440 E 62 New York, NY 10065",
1075,"440 EAST 62 STREET New York, NY 10065",
1076,"1643 FIRST AVENUE                         New York, NY 10028",
1077,"1140 FIRST AVENUE                         New York, NY 10065",
1078,"2021 FIRST AVENUE New York, NY 10029",
1079,"2019 FIRST AVENUE                         New York, NY 10029",
1080,"2159 FIRST AVENUE New York, NY 10029",
1081,"1937 FIRST AVENUE                         New York, NY 10029",
1082,"2021 FIRST AVENUE                         New York, NY 10029",
1083,"1649 FIRST AVENUE                         New York, NY 10028",
1084,"1724 SECOND AVENUE                        New York, NY 10128",
1085,"2132 SECOND AVENUE New York, NY 10029",
1086,"2154 SECOND AVENUE New York, NY 10029",
1087,"2000 SECOND AVENUE                        New York, NY 10029",
1088,"2132 SECOND AVENUE                        New York, NY 10029",
1089,"2134 SECOND AVENUE                        New York, NY 10029",
1090,"2118 SECOND AVENUE New York, NY 10029",
1091,"1538 SECOND AVENUE                        New York, NY 10028",
1092,"1355 FIRST AVENUE                         New York, NY 10021",
1093,"1810 THIRD AVENUE New York, NY 10029",
1094,"2012-2014 THIRD AVENUE New York, NY 10029",
1095,"1904 THIRD AVE New York, NY 10029",
1096,"1906 THIRD AVE New York, NY 10029",
1097,"1760 THIRD AVENUE                         New York, NY 10029",
1098,"1810 THIRD AVENUE                         New York, NY 10029",
1099,"1992 THIRD AVENUE                         New York, NY 10029",
1100,"1882 THIRD AVENUE                         New York, NY 10029",
1101,"2026 THIRD AVENUE                         New York, NY 10029",
1102,"1878 THIRD AVE New York, NY 10029",
1103,"1619 THIRD AVENUE New York, NY 10128",
1104,"1444 THIRD AVENUE New York, NY 10028",
1105,"1465 THIRD AVENUE                         New York, NY 10028",
1106,"1664 THIRD AVE                            New York, NY 10128",
1107,"1215 FIFTH AVENUE New York, NY 10029",
1108,"1212 FIFTH AVENUE                         New York, NY 10029",
1109,"1255 FIFTH AVENUE New York, NY 10029",
1110,"1255 FIFTH AVENUE                         New York, NY 10029",
1111,"1270 FIFTH AVENUE New York, NY 10029",
1112,"1270 FIFTH AVE New York, NY 10029",
1113,"1280 FIFTH AVENUE                         New York, NY 10029",
1114,"1280 FIFTH AVENUE New York, NY 10029",
1115,"1158 FIFTH AVENUE New York, NY 10029",
1116,"1170 FIFTH AVENUE New York, NY 10029",
1117,"965 FIFTH AVENUE New York, NY 10075",
1118,"1010 FIFTH AVENUE New York, NY 10028",
1119,"1016 FIFTH AVE New York, NY 10028",
1120,"812 FIFTH AVE New York, NY 10065",
1121,"993 FIFTH AVENUE New York, NY 10028",
1122,"1040 FIFTH AVENUE New York, NY 10028",
1123,"944 FIFTH AVENUE New York, NY 10021",
1124,"1115 FIFTH AVENUE New York, NY 10128",
1125,"1711 LEXINGTON                            New York, NY 10029",
1126,"8 EAST 68                                 New York, NY 10065",
1127,"354 EAST 81                               New York, NY 10028",
1128,"330 EAST 65 New York, NY 10065",
1129,"20 EAST 116TH STREET New York, NY 10029",
1130,"104 EAST 116TH STREET                     New York, NY 10029",
1131,"115-121 EAST 116TH STREET New York, NY 10029",
1132,"1627 PARK AVENUE                          New York, NY 10029",
1133,"153 EAST 115TH STREET                     New York, NY 10029",
1134,"220 EAST 116TH STREET                     New York, NY 10029",
1135,"228 EAST 116TH STREET                     New York, NY 10029",
1136,"1680 MADISON AVENUE New York, NY 10029",
1137,"238 EAST 116TH STREET                     New York, NY 10029",
1138,"221 E 115TH STREET                        New York, NY 10029",
1139,"321 EAST 116TH STREET                     New York, NY 10029",
1140,"351 E 116TH STREET New York, NY 10029",
1141,"351 E 116TH ST New York, NY 10029",
1142,"1655 MADISON AVENUE                       New York, NY 10029",
1143,"336 EAST 116TH STREET                     New York, NY 10029",
1144,"348 EAST 116TH STREET                     New York, NY 10029",
1145,"319 EAST 115TH STREET                     New York, NY 10029",
1146,"138 EAST 112TH STREET                     New York, NY 10029",
1147,"354 EAST 116TH ST                         New York, NY 10029",
1148,"1642 MADISON AVENUE                       New York, NY 10029",
1149,"150 EAST 112TH STREET                     New York, NY 10029",
1150,"413 EAST 116TH STREET New York, NY 10029",
1151,"77 EAST 110TH STREET                      New York, NY 10029",
1152,"1270 5TH AVENUE New York, NY 10029",
1153,"1270 5TH AVENUE                           New York, NY 10029",
1154,"2243 1ST AVENUE                           New York, NY 10029",
1155,"1516 PARK AVENUE                          New York, NY 10029",
1156,"414 EAST 116TH STREET New York, NY 10029",
1157,"1630 MADISON AVENUE New York, NY 10029",
1158,"1630 MADISON AVENUE                       New York, NY 10029",
1159,"2239 1ST AVENUE New York, NY 10029",
1160,"409 EAST 115TH STREET                     New York, NY 10029",
1161,"137 EAST 110TH STREET                     New York, NY 10029",
1162,"139 EAST 110TH STREET                     New York, NY 10029",
1163,"503 EAST 116TH STREET                     New York, NY 10029",
1164,"204 EAST 112TH STREET                     New York, NY 10029",
1165,"418 EAST 115TH STREET New York, NY 10029",
1166,"182 EAST 111TH STREET                     New York, NY 10029",
1167,"182 E 111TH STREET                        New York, NY 10029",
1168,"184 EAST 111TH STREET                     New York, NY 10029",
1169,"442-444 EAST 115TH STREET                 New York, NY 10029",
1170,"186 E. 111TH ST New York, NY 10029",
1171,"291 PLEASANT AVENUE                       New York, NY 10029",
1172,"161 EAST 110TH STREET                     New York, NY 10029",
1173,"161 E 110TH ST                            New York, NY 10029",
1174,"161 EAST 110TH ST                         New York, NY 10029",
1175,"411 EAST 114TH STREET                     New York, NY 10029",
1176,"413 EAST 114TH STREET                     New York, NY 10029",
1177,"281 PLEASANT AVENUE                       New York, NY 10029",
1178,"217 EAST 111TH STREET New York, NY 10029",
1179,"417 EAST 114TH STREET                     New York, NY 10029",
1180,"419 EAST 114TH STREET                     New York, NY 10029",
1181,"227 EAST 111TH STREET                     New York, NY 10029",
1182,"421 EAST 114TH STREET                     New York, NY 10029",
1183,"423 EAST 114TH STREET                     New York, NY 10029",
1184,"233 EAST 111TH STREET                     New York, NY 10029",
1185,"235 EAST 111TH STREET                     New York, NY 10029",
1186,"261-269 PLEASANT AVENUE                   New York, NY 10029",
1187,"271 PLEASANT AVENUE                       New York, NY 10029",
1188,"324 EAST 112TH                            New York, NY 10029",
1189,"1753 LEXINGTON AVENUE                     New York, NY 10029",
1190,"238 EAST 111TH STREET                     New York, NY 10029",
1191,"225 EAST 110TH STREET                     New York, NY 10029",
1192,"324 EAST 112TH STREET New York, NY 10029",
1193,"324 EAST 112TH STREET                     New York, NY 10029",
1194,"1465 PARK AVENUE New York, NY 10029",
1195,"154 EAST 109TH New York, NY 10029",
1196,"336 E 112TH ST                            New York, NY 10029",
1197,"336 EAST 112TH STREET New York, NY 10029",
1198,"317 EAST 111TH STREET                     New York, NY 10029",
1199,"1737 LEXINGTON AVENUE                     New York, NY 10029",
1200,"2156 2ND AVENUE                           New York, NY 10029",
1201,"1733 LEXINGTON AVENUE                     New York, NY 10029",
1202,"1731 LEXINGTON AVENUE                     New York, NY 10029",
1203,"2159 1ST AVENUE New York, NY 10029",
1204,"1723 LEXINGTON AVENUE                     New York, NY 10029",
1205,"1715 LEXINGTON AVENUE                     New York, NY 10029",
1206,"2132 2ND AVE                              New York, NY 10029",
1207,"159 EAST 107TH STREET                     New York, NY 10029",
1208,"161 EAST 107TH STREET                     New York, NY 10029",
1209,"1698 LEXINGTON AVENUE                     New York, NY 10029",
1210,"1701 LEXINGTON AVENUE                     New York, NY 10029",
1211,"305 EAST 109TH STREET New York, NY 10029",
1212,"1692 LEXINGTON AVENUE                     New York, NY 10029",
1213,"303 EAST 109TH STREET                     New York, NY 10029",
1214,"307 EAST 109TH STREET New York, NY 10029",
1215,"311 EAST 109TH STREET                     New York, NY 10029",
1216,"342 EAST 110TH STREET                     New York, NY 10029",
1217,"333 EAST 109TH STREET New York, NY 10029",
1218,"330 E 109TH STREET                        New York, NY 10029",
1219,"330 EAST 109TH STREET                     New York, NY 10029",
1220,"330 EAST 109TH STREET New York, NY 10029",
1221,"154 EAST 106TH STREET                     New York, NY 10029",
1222,"322 EAST 109TH STREET New York, NY 10029",
1223,"1215 5TH AVENUE New York, NY 10029",
1224,"326 EAST 109TH STREET New York, NY 10029",
1225,"309 EAST 108TH STREET                     New York, NY 10029",
1226,"26 EAST 103RD STREET                      New York, NY 10029",
1227,"22 EAST 103RD STREET                      New York, NY 10029",
1228,"1675 LEXINGTON AVENUE New York, NY 10029",
1229,"24 EAST 103RD STREET                      New York, NY 10029",
1230,"323 EAST 108TH STREET New York, NY 10029",
1231,"1212 5TH AVENUE                           New York, NY 10029",
1232,"1200 5TH AVENUE                           New York, NY 10029",
1233,"1661 LEXINGTON AVENUE                     New York, NY 10029",
1234,"226-230 EAST 106TH STREET New York, NY 10029",
1235,"164 EAST 105TH STREET New York, NY 10029",
1236,"164 E 105TH STREET                        New York, NY 10029",
1237,"236 EAST 106TH ST New York, NY 10029",
1238,"1634 LEXINGTON AVENUE                     New York, NY 10029",
1239,"112 EAST 103RD STREET                     New York, NY 10029",
1240,"118 EAST 103RD STREET                     New York, NY 10029",
1241,"122 EAST 103RD STREET                     New York, NY 10029",
1242,"1635 LEXINGTON AVENUE                     New York, NY 10029",
1243,"1635 LEXINGTON AVE                        New York, NY 10029",
1244,"124 EAST 103RD STREET                     New York, NY 10029",
1245,"103 EAST 102ND STREET                     New York, NY 10029",
1246,"129-31 EAST 102ND STREET New York, NY 10029",
1247,"129-31 E 102ND STREET New York, NY 10029",
1248,"127 EAST 102ND STREET                     New York, NY 10029",
1249,"1620 LEXINGTON AVENUE New York, NY 10029",
1250,"334 EAST 106TH STREET                     New York, NY 10029",
1251,"129 EAST 102ND STREET New York, NY 10029",
1252,"319 EAST 105TH                            New York, NY 10029",
1253,"306 EAST 105TH                            New York, NY 10029",
1254,"319 EAST 105TH STREET                     New York, NY 10029",
1255,"119 EAST 101ST STREET                     New York, NY 10029",
1256,"1864 3RD AVENUE New York, NY 10029",
1257,"169 EAST 102ND STREET New York, NY 10029",
1258,"169 EAST 102ND STREET                     New York, NY 10029",
1259,"306 EAST 105TH STREET                     New York, NY 10029",
1260,"122 EAST 101ST STREET New York, NY 10029",
1261,"1325 PARK AVENUE New York, NY 10029",
1262,"1170 5TH AVENUE New York, NY 10029",
1263,"1595 LEXINGTON AVENUE                     New York, NY 10029",
1264,"1575 LEXINGTON AVENUE                     New York, NY 10029",
1265,"337 EAST 104TH STREET New York, NY 10029",
1266,"1578 LEXINGTON AVENUE                     New York, NY 10029",
1267,"345 EAST 104TH STREET                     New York, NY 10029",
1268,"2027 1ST AVENUE New York, NY 10029",
1269,"1571 LEXINGTON AVENUE                     New York, NY 10029",
1270,"166 EAST 100TH                            New York, NY 10029",
1271,"301 EAST 103RD STREET                     New York, NY 10029",
1272,"16 EAST 98TH STREET New York, NY 10029",
1273,"1569 LEXINGTON AVENUE                     New York, NY 10029",
1274,"1567 LEXINGTON AVENUE                     New York, NY 10029",
1275,"9 EAST 97TH New York, NY 10029",
1276,"1158 5TH AVENUE New York, NY 10029",
1277,"9 EAST 97TH STREET New York, NY 10029",
1278,"12 EAST 97TH New York, NY 10029",
1279,"17 EAST 97TH ST New York, NY 10029",
1280,"17 EAST 97TH STREET New York, NY 10029",
1281,"12 EAST 97TH STREET New York, NY 10029",
1282,"12 EAST 97TH   STREET New York, NY 10029",
1283,"1557 LEXINGTON AVENUE                     New York, NY 10029",
1284,"158 EAST 100TH STREET                     New York, NY 10029",
1285,"1555 LEXINGTON AVENUE New York, NY 10029",
1286,"167 EAST 99TH   STREET                    New York, NY 10029",
1287,"169 EAST 99TH   STREET                    New York, NY 10029",
1288,"171 EAST 99TH   STREET                    New York, NY 10029",
1289,"1265 PARK AVENUE New York, NY 10029",
1290,"8 EAST 96TH STREET New York, NY 10128",
1291,"112 EAST 98TH STREET New York, NY 10029",
1292,"114 EAST 98TH STREET New York, NY 10029",
1293,"101B EAST 97TH STREET New York, NY 10029",
1294,"105 EAST 97TH STREET New York, NY 10029",
1295,"105 E 97TH STREET New York, NY 10029",
1296,"101C EAST 97TH STREET                     New York, NY 10029",
1297,"148 EAST 98TH STREET                      New York, NY 10029",
1298,"4 EAST 95TH   STREET New York, NY 10128",
1299,"4 EAST 95TH STREET New York, NY 10128",
1300,"1511 LEXINGTON AVE                        New York, NY 10029",
1301,"110 EAST 97TH   STREET New York, NY 10029",
1302,"110 EAST 97TH   STREET                    New York, NY 10029",
1303,"20 EAST 95TH STREET New York, NY 10128",
1304,"1955 1ST AVENUE                           New York, NY 10029",
1305,"21 EAST 94TH   STREET                     New York, NY 10128",
1306,"1235 PARK AVE                             New York, NY 10128",
1307,"154 EAST 97TH STREET New York, NY 10029",
1308,"156 EAST 97TH STREET New York, NY 10029",
1309,"1326 MADISON AVENUE                       New York, NY 10128",
1310,"40 EAST 94TH STREET New York, NY 10128",
1311,"40 EAST 94TH STREET                       New York, NY 10128",
1312,"40 EAST 94TH   STREET New York, NY 10128",
1313,"40 EAST 94TH   STREET                     New York, NY 10128",
1314,"8 EAST 93RD STREET New York, NY 10128",
1315,"122 EAST 95TH   STREET                    New York, NY 10128",
1316,"166 EAST 96TH   STREET New York, NY 10128",
1317,"166 EAST 96TH ST New York, NY 10128",
1318,"55 EAST 93RD   STREET New York, NY 10128",
1319,"1192 PARK AVENUE New York, NY 10128",
1320,"72 EAST 93RD STREET New York, NY 10128",
1321,"118 EAST 93RD   STREET                    New York, NY 10128",
1322,"206 EAST 95TH STREET                      New York, NY 10128",
1323,"206 EAST 95TH   STREET                    New York, NY 10128",
1324,"206 EAST 95TH   STREET New York, NY 10128",
1325,"206 E 95TH STREET                         New York, NY 10128",
1326,"210 EAST 95TH   STREET New York, NY 10128",
1327,"212 EAST 95TH STREET                      New York, NY 10128",
1328,"216 EAST 95TH   STREET                    New York, NY 10128",
1329,"134 EAST 93RD STREET                      New York, NY 10128",
1330,"134 EAST 93RD   STREET New York, NY 10128",
1331,"224 EAST 95TH   STREET New York, NY 10128",
1332,"150 E 93RD                                New York, NY 10128",
1333,"302 EAST 96TH   STREET                    New York, NY 10128",
1334,"336-338 EAST 96TH STREET                  New York, NY 10128",
1335,"123 EAST 92ND   STREET New York, NY 10128",
1336,"123 EAST 92ND   STREET                    New York, NY 10128",
1337,"231-239 EAST 94TH STREET                  New York, NY 10128",
1338,"309 EAST 95TH   STREET                    New York, NY 10128",
1339,"200 EAST 94TH   STREET                    New York, NY 10128",
1340,"200 EAST 94TH STREET                      New York, NY 10128",
1341,"200 EAST 94TH STREET New York, NY 10128",
1342,"241-243 EAST 94TH STREET                  New York, NY 10128",
1343,"220 EAST 94TH   STREET                    New York, NY 10128",
1344,"333 EAST 95TH STREET                      New York, NY 10128",
1345,"333 EAST 95TH   STREET                    New York, NY 10128",
1346,"166 EAST 92ND New York, NY 10128",
1347,"301 EAST 94TH   STREET New York, NY 10128",
1348,"166 EAST 92ND   STREET New York, NY 10128",
1349,"1501 LEXINGTON AVENUE                     New York, NY 10029",
1350,"170 EAST 92ND STREET New York, NY 10128",
1351,"2 EAST 88TH STREET New York, NY 10128",
1352,"245 EAST 93RD STREET                      New York, NY 10128",
1353,"245 EAST 93RD   STREET New York, NY 10128",
1354,"1368 LEXINGTON AVENUE                     New York, NY 10128",
1355,"4 EAST 88TH STREET New York, NY 10128",
1356,"19 EAST 88TH STREET New York, NY 10128",
1357,"1641 3RD AVENUE                           New York, NY 10128",
1358,"303-305 EAST 93RD   STREET                New York, NY 10128",
1359,"20 EAST 88TH STREET New York, NY 10128",
1360,"20 EAST 88TH   STREET New York, NY 10128",
1361,"20 EAST 88TH   STREET                     New York, NY 10128",
1362,"20 EAST 88TH ST New York, NY 10128",
1363,"330 EAST 94TH ST New York, NY 10128",
1364,"330 EAST 94TH   STREET New York, NY 10128",
1365,"166 EAST 91ST   STREET                    New York, NY 10128",
1366,"114 EAST 90TH   STREET New York, NY 10128",
1367,"120 EAST 90TH ST                          New York, NY 10128",
1368,"1204 MADISON AVENUE                       New York, NY 10128",
1369,"300 EAST 93RD   STREET                    New York, NY 10128",
1370,"300 EAST 93RD   STREET New York, NY 10128",
1371,"181 EAST 90TH ST                          New York, NY 10128",
1372,"345 EAST 93RD ST New York, NY 10128",
1373,"345 EAST 93RD   STREET New York, NY 10128",
1374,"47 EAST 87TH STREET New York, NY 10128",
1375,"331-333 EAST 92ND STREET New York, NY 10128",
1376,"1601 3RD AVENUE                           New York, NY 10128",
1377,"55 EAST 87TH New York, NY 10128",
1378,"340 EAST 93RD STREET New York, NY 10128",
1379,"111 EAST 88TH   STREET New York, NY 10128",
1380,"200 EAST 90TH STREET New York, NY 10128",
1381,"204 EAST 90TH STREET New York, NY 10128",
1382,"206 EAST 90TH   STREET New York, NY 10128",
1383,"208 EAST 90TH STREET New York, NY 10128",
1384,"55 EAST 86TH                              New York, NY 10028",
1385,"3 EAST 85TH ST New York, NY 10028",
1386,"1050 PARK AVENUE New York, NY 10028",
1387,"205 EAST 89TH STREET New York, NY 10128",
1388,"312 EAST 91ST STREET                      New York, NY 10128",
1389,"314 EAST 91ST STREET                      New York, NY 10128",
1390,"316 EAST 91ST STREET                      New York, NY 10128",
1391,"316 EAST 91ST   STREET                    New York, NY 10128",
1392,"200 EAST 89TH STREET                      New York, NY 10128",
1393,"200 EAST 89TH   STREET New York, NY 10128",
1394,"200 EAST 89TH ST                          New York, NY 10128",
1395,"333 EAST 91ST STREET New York, NY 10128",
1396,"227 EAST 89TH STREET                      New York, NY 10128",
1397,"300 EAST 90TH STREET                      New York, NY 10128",
1398,"35 EAST 85TH STREET New York, NY 10028",
1399,"35 EAST 85TH   STREET New York, NY 10028",
1400,"30 EAST 85TH   STREET                     New York, NY 10028",
1401,"30 EAST 85TH STREET                       New York, NY 10028",
1402,"350 EAST 91ST   STREET                    New York, NY 10128",
1403,"319 EAST 90TH   STREET                    New York, NY 10128",
1404,"120 EAST 87TH STREET                      New York, NY 10128",
1405,"120 EAST 87TH   STREET New York, NY 10128",
1406,"120 EAST 87TH   STREET                    New York, NY 10128",
1407,"3 EAST 84TH STREET New York, NY 10028",
1408,"7 EAST 84TH   STREET                      New York, NY 10028",
1409,"323 EAST 90TH STREET                      New York, NY 10128",
1410,"123 EAST 86TH   STREET                    New York, NY 10028",
1411,"252 EAST 89TH STREET New York, NY 10128",
1412,"170 EAST 87TH                             New York, NY 10128",
1413,"324 EAST 90TH STREET New York, NY 10128",
1414,"170 EAST 87TH   STREET New York, NY 10128",
1415,"313 EAST 89TH STREET New York, NY 10128",
1416,"334 EAST 90TH STREET                      New York, NY 10128",
1417,"237 EAST 88TH STREET                      New York, NY 10128",
1418,"237 EAST 88TH   STREET                    New York, NY 10128",
1419,"20 EAST 84TH   STREET New York, NY 10028",
1420,"340 EAST 90TH STREET                      New York, NY 10128",
1421,"321 EAST 89TH STREET New York, NY 10128",
1422,"151-155 EAST 86TH   STREET                New York, NY 10028",
1423,"151 EAST 86TH STREET                      New York, NY 10028",
1424,"40 EAST 84TH STREET New York, NY 10028",
1425,"21 EAST 83RD   STREET                     New York, NY 10028",
1426,"331 EAST 89TH   STREET                    New York, NY 10128",
1427,"234 EAST 88TH   STREET                    New York, NY 10128",
1428,"227 EAST 87TH STREET New York, NY 10128",
1429,"25 EAST 83RD New York, NY 10028",
1430,"305 EAST 88TH  STREET New York, NY 10128",
1431,"235 EAST 87TH STREET New York, NY 10128",
1432,"389 EAST 89TH   STREET                    New York, NY 10128",
1433,"389 EAST 89TH ST New York, NY 10128",
1434,"8 EAST 83RD   STREET New York, NY 10028",
1435,"348 EAST 89TH   STREET                    New York, NY 10128",
1436,"348 EAST 89TH STREET                      New York, NY 10128",
1437,"319 EAST 88TH   STREET                    New York, NY 10128",
1438,"315 EAST 88TH STREET New York, NY 10128",
1439,"354 EAST 89TH   STREET New York, NY 10128",
1440,"103 EAST 84TH   STREET New York, NY 10028",
1441,"40 EAST 83RD STREET New York, NY 10028",
1442,"242 EAST 87TH   STREET New York, NY 10128",
1443,"119 EAST 84TH   STREET New York, NY 10028",
1444,"250 EAST 87TH  STREET New York, NY 10028",
1445,"4 EAST 82ND STREET New York, NY 10028",
1446,"301 EAST 87TH STREET New York, NY 10128",
1447,"311 EAST 87TH STREET New York, NY 10128",
1448,"233 EAST 86TH STREET New York, NY 10028",
1449,"360 EAST 88TH STREET New York, NY 10128",
1450,"360 EAST 88TH   STREET                    New York, NY 10128",
1451,"360 EAST 88TH   STREET New York, NY 10128",
1452,"360 E. 88TH STREET                        New York, NY 10128",
1453,"360 EAST 88TH STREET                      New York, NY 10128",
1454,"22 EAST 82ND STREET New York, NY 10028",
1455,"22 EAST 82ND   STREET                     New York, NY 10028",
1456,"350 EAST 88TH   STREET                    New York, NY 10128",
1457,"220 EAST 86TH   STREET                    New York, NY 10028",
1458,"205 EAST 85TH   STREET New York, NY 10028",
1459,"205 EAST 85TH   STREET                    New York, NY 10028",
1460,"995 5TH AVENUE New York, NY 10028",
1461,"157 EAST 84TH   STREET                    New York, NY 10028",
1462,"117 EAST 83RD   STREET New York, NY 10028",
1463,"414 EAST 88TH New York, NY 10128",
1464,"4 EAST 81ST   STREET                      New York, NY 10028",
1465,"1078 MADISON AVENUE                       New York, NY 10028",
1466,"355 EAST 87TH   STREET                    New York, NY 10128",
1467,"171 EAST 84TH STREET                      New York, NY 10028",
1468,"171 EAST 84TH ST                          New York, NY 10028",
1469,"344 EAST 87TH   STREET New York, NY 10128",
1470,"515 EAST 89TH STREET New York, NY 10128",
1471,"214 EAST 85TH STREET New York, NY 10028",
1472,"350 EAST 87TH   STREET                    New York, NY 10128",
1473,"3 EAST 80TH   STREET                      New York, NY 10075",
1474,"128 EAST 83RD STREET New York, NY 10028",
1475,"345 EAST 86TH   STREET New York, NY 10028",
1476,"345 EAST 86TH STREET New York, NY 10028",
1477,"308 EAST 86TH   STREET New York, NY 10028",
1478,"140 EAST 83RD New York, NY 10028",
